City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
529,manay,7.215,126.5397,296.48,86,85,2.59,PH,1739553832
530,kapuskasing,49.4169,-82.4331,257.2,51,20,5.66,CA,1739553834
531,kuusamo,65.9667,29.1833,261.17,92,0,4.12,FI,1739553835
532,ak'ordat,15.5486,37.8867,301.74,43,45,2.85,ER,1739553836
533,portales,34.1862,-103.3344,278.7,34,79,8.27,US,1739553838
534,woolgoolga,-30.1106,153.2007,298.08,92,99,3.47,AU,1739553839
535,nellore,14.4333,79.9667,294.99,76,4,3.71,IN,1739553840
536,nicoya,10.1483,-85.452,304.95,48,100,4.99,CR,1739553841
537,arica,-18.475,-70.3042,301.28,47,0,6.17,CL,1739553577
538,borrazopolis,-23.9411,-51.5875,300.87,72,54,1.83,BR,1739553843
539,inhuma,-6.6683,-41.7078,306.14,39,73,2.59,BR,1739553844
540,rancharia,-22.2292,-50.8931,303.5,48,19,2.29,BR,1739553846
541,kualakapuas,-3.0091,114.3876,297.99,94,100,1.19,ID,1739553847
542,baltasi,56.3462,50.2062,263.44,96,100,4.54,RU,1739553848
543,happy valley-goose bay,53.3168,-60.3315,259.32,85,100,7.72,CA,1739553822
544,miyaly,48.8844,53.7836,270.57,85,100,2.04,KZ,1739553852
545,la pesa,7.4954,-72.3818,284.66,81,100,0.68,VE,1739553853
546,susuman,62.7833,148.1667,247.33,100,99,0.99,RU,1739553854
547,cannonvale,-20.2833,148.7,299.81,89,69,3.91,AU,1739553855
548,mukachevo,48.4419,22.7179,275.74,97,100,2.83,UA,1739553856
549,bartica,6.4,-58.6167,300.33,82,80,2.72,GY,1739553857
550,shengli,37.4564,118.4856,279.5,28,100,2.85,CN,1739553858
551,baranovichi,53.1327,26.0139,268.34,85,85,4.51,BY,1739553860
552,rustenburg,-25.6676,27.2421,296.12,68,100,3.59,ZA,1739553861
553,kerikeri,-35.2268,173.9474,288.66,86,38,4.49,NZ,1739553862
554,berezovyy,51.6667,135.7,250.5,90,11,2.28,RU,1739553863
555,mount pearl,47.5166,-52.7813,274.96,94,75,13.89,CA,1739553657
556,san patricio,28.017,-97.5169,280.12,61,90,3.97,US,1739553865
557,ouani,-12.1322,44.4258,301.28,76,76,1.24,KM,1739553866
558,carauari,-4.8828,-66.8958,301.21,70,99,2.11,BR,1739553867
559,jinshi,29.6049,111.8701,278.65,85,100,1.63,CN,1739553869
560,lompoc,34.6391,-120.4579,286.55,90,100,6.17,US,1739553870
